Price,Make,Model,Year,Type,mileage
195000,mahindra,xylo,2009,diesel,278956
375000,mahindra,scorpio,2011,diesel,90000
200500,mahindra,scorpio,2008,diesel,99000
411000,mahindra,scorpio,2009,diesel,80000
1090000,mahindra,marazzo,2019,diesel,14800
195500,mahindra,scorpio,2008,diesel,99000
851000,mahindra,xuv500,2015,diesel,71000
625000,mahindra,xuv500,2012,diesel,60800
575000,mahindra,xuv500,2014,diesel,90000
450000,mahindra,xuv500,2012,diesel,99000
1490000,mahindra,xuv500,2019,diesel,53000
500000,mahindra,others,2019,diesel,4000
1051000,mahindra,xuv500,2016,diesel,56000
275000,mahindra,scorpio,2009,diesel,86500
375000,mahindra,others,1993,diesel,53400
445000,mahindra,scorpio,2012,diesel,86700
600000,mahindra,thar,2019,diesel,22000
205000,mahindra,others,1985,diesel,36000
101010,mahindra,thar,1997,diesel,94717
325000,mahindra,xylo,2011,diesel,82000
1275000,mahindra,xuv500,2016,diesel,44500
851000,mahindra,xuv500,2015,diesel,70000
851000,mahindra,xuv500,2015,diesel,71000
250000,mahindra,xylo,2009,diesel,12
280000,mahindra,others,2000,diesel,38885
950000,mahindra,xuv500,2017,diesel,50500
300000,mahindra,xylo,2010,diesel,168336
510000,mahindra,bolero,2014,diesel,80000
1255000,mahindra,xuv500,2017,diesel,35000
711000,mahindra,xuv500,2014,diesel,62000
485000,mahindra,bolero,2016,diesel,79000
511000,mahindra,scorpio,2014,diesel,100000
681000,mahindra,xuv500,2014,diesel,68000
311000,mahindra,xylo,2010,diesel,85309
540000,mahindra,xuv500,2013,diesel,127000
551000,mahindra,scorpio,2012,diesel,83000
550000,mahindra,xuv500,2013,diesel,125000
750000,mahindra,xuv500,2015,diesel,120000
230000,mahindra,xylo,2009,diesel,109000
140000,mahindra,scorpio,2005,diesel,114000
975000,mahindra,bolero,2019,diesel,15000
210000,mahindra,scorpio,2004,diesel,150000
650000,mahindra,bolero,2017,diesel,52000
850000,mahindra,tuv,2019,diesel,21000
450000,mahindra,kuv-100,2017,diesel,112000
250000,mahindra,quanto,2013,diesel,150000
381000,mahindra,kuv-100,2017,diesel,44400
775000,mahindra,xuv500,2016,diesel,77000
191000,mahindra,xylo,2011,diesel,100000
425000,mahindra,kuv-100,2017,diesel,111000
559000,mahindra,scorpio,2011,diesel,218595
135000,mahindra,others,1998,diesel,220000
750000,mahindra,tuv,2018,diesel,19000
235000,mahindra,quanto,2012,diesel,91000
200000,mahindra,others,2005,diesel,0
1450000,mahindra,xuv500,2018,diesel,25000
375000,mahindra,kuv-100,2016,diesel,75000
270000,mahindra,xylo,2012,diesel,150000
475000,mahindra,xuv500,2012,diesel,98000
555000,mahindra,bolero,2014,diesel,90000
625000,mahindra,tuv,2016,diesel,65000
1250000,mahindra,scorpio,2018,diesel,90000
321000,mahindra,others,2001,diesel,99999
1150000,mahindra,xuv500,2016,diesel,39000
280000,mahindra,bolero,2008,diesel,85000
475000,mahindra,xuv500,2012,diesel,71000
330000,mahindra,quanto,2014,diesel,85000
1175000,mahindra,xuv500,2016,diesel,45207
1490000,mahindra,xuv500,2018,diesel,53000
1125000,mahindra,xuv500,2016,diesel,40000
920000,mahindra,xuv500,2015,diesel,89000
875000,mahindra,tuv,2018,diesel,15000
800000,mahindra,xuv500,2014,diesel,93000
551000,mahindra,bolero,2018,diesel,58000
375000,mahindra,verito,2014,diesel,28000
300000,mahindra,quanto,2012,diesel,62000
249111,mahindra,quanto,2013,diesel,67000
1025000,mahindra,xuv500,2016,diesel,107001
265000,mahindra,xylo,2010,diesel,82000
381000,mahindra,kuv-100,2017,cng,46000
575000,mahindra,xuv500,2012,diesel,120000
688888,mahindra,xuv500,2014,diesel,52143
875000,mahindra,xuv500,2015,diesel,72000
600000,mahindra,xuv500,2012,diesel,58000
625000,mahindra,tuv,2016,diesel,45000
575000,mahindra,xuv500,2014,diesel,52000
611000,mahindra,tuv,2016,diesel,93000
725000,mahindra,thar,2016,diesel,27000
